,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,façon,way
42,écoute,listen
43,dont,whose
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,pouvoir,power
49,sois,be
50,tellement,so much
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,aimerais,would like to
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,donne,given
78,loin,far
79,fin,end
80,croire,believe
81,chérie,sweetheart
82,gros,large
83,plutôt,rather
84,filles,girls
85,jouer,to play
86,bureau,office
